Pillar: 2016/05/16 17:24:10 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Asset exists, id [ObjectIdHex("")] and url [http://www.nytimes.com/2015/02/22/us/ties-to-corporate-cash-for-climate-change-researcher-Wei-Hock-Soon.html] must be unique. 500}]
Pillar: 2016/05/16 17:25:20 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3312803] 500}]
Pillar: 2016/05/16 17:25:21 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3323035] 500}]
Pillar: 2016/05/16 17:25:21 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3343063] 500}]
Pillar: 2016/05/16 17:25:21 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3345419] 500}]
Pillar: 2016/05/16 17:25:21 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3345419] 500}]
Pillar: 2016/05/16 17:25:22 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3345419] 500}]
Pillar: 2016/05/16 17:25:22 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3345419] 500}]
Pillar: 2016/05/16 17:25:22 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3355661] 500}]
Pillar: 2016/05/16 17:25:22 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3366349] 500}]
Pillar: 2016/05/16 17:25:23 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3369863] 500}]
Pillar: 2016/05/16 17:25:23 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3372340] 500}]
Pillar: 2016/05/16 17:25:23 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3375446] 500}]
Pillar: 2016/05/16 17:25:23 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3381076] 500}]
Pillar: 2016/05/16 17:25:24 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3381076] 500}]
Pillar: 2016/05/16 17:25:24 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3383929] 500}]
Pillar: 2016/05/16 17:25:24 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3384564] 500}]
Pillar: 2016/05/16 17:25:24 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3384564] 500}]
Pillar: 2016/05/16 17:25:25 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3384564] 500}]
Pillar: 2016/05/16 17:25:25 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3385288] 500}]
Pillar: 2016/05/16 17:25:25 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3385690] 500}]
Pillar: 2016/05/16 17:25:26 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3385850] 500}]
Pillar: 2016/05/16 17:25:26 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3386280] 500}]
Pillar: 2016/05/16 17:25:26 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3389170] 500}]
Pillar: 2016/05/16 17:25:26 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3389170] 500}]
Pillar: 2016/05/16 17:25:27 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3394240] 500}]
Pillar: 2016/05/16 17:25:27 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3396746] 500}]
Pillar: 2016/05/16 17:25:27 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3396746] 500}]
Pillar: 2016/05/16 17:25:27 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3396796] 500}]
